fieldbeat_task_id,task_type,state,priority,client_key,created_at,updated_at
1108,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2021-06-29T16:19:16.247Z,2021-07-12T15:32:53.540Z
1109,CORRECTIVA PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|76.105.383-3|TORRE MÉDICA - RANCAGUA,2021-06-30T18:51:31.683Z,2021-06-30T19:04:00.053Z
1110,,ARCHIVED,1,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-07-02T01:06:59.353Z,2021-07-02T16:47:36.436Z
1111,CORRECTIVA PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-07-02T01:14:31.372Z,2021-07-02T01:47:24.690Z
1112,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-07-02T21:31:56.133Z,2021-07-02T22:11:20.505Z
1113,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-07-02T21:33:23.265Z,2021-07-02T22:13:49.110Z
1114,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2021-07-03T22:34:43.261Z,2021-07-03T22:39:56.765Z
1115,CORRECTIVA NO PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,2021-07-06T17:34:22.995Z,2021-11-03T15:01:31.066Z
1116,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,2021-07-06T17:36:38.595Z,2021-07-06T17:49:41.247Z
1117,CORRECTIVA NO PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT||ACME,2021-07-06T18:13:03.595Z,2022-08-26T19:39:24.052Z
1118,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,2021-07-11T22:38:50.474Z,2021-07-12T12:39:58.575Z
1119,,ARCHIVED,3,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,2021-07-12T13:08:01.205Z,2021-08-25T16:50:25.020Z
1120,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,2021-07-12T13:09:01.291Z,2021-07-12T13:41:38.327Z
