bridge_id,zendesk_ticket_id,fieldbeat_task_id,link_method,confidence,created_at
906153|1588,906153,1588,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
950403|1590,950403,1590,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1596,9999,1596,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1597,9999,1597,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1598,0101,1598,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1601,0101,1601,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1604,0101,1604,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1605,9999,1605,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1606,0101,1606,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
677843|1607,677843,1607,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1608,0101,1608,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
531163|1609,531163,1609,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
346827|1610,346827,1610,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1611,777777,1611,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
661775|1612,661775,1612,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1613,777777,1613,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1614,9999,1614,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
5|1615,5,1615,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
11540|1616,11540,1616,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1617,9999,1617,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
574768|1618,574768,1618,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
451216|1621,451216,1621,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1622,0101,1622,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
222061|1627,222061,1627,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
697208|1628,697208,1628,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
166809|1629,166809,1629,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
312736|1631,312736,1631,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1633,9999,1633,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1634,777777,1634,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
639161|1636,639161,1636,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
575784|1637,575784,1637,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1638,777777,1638,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
620100|1640,620100,1640,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
326647|1641,326647,1641,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1642,9999,1642,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
536165|1645,536165,1645,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1646,9999,1646,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
129036|1648,129036,1648,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
224161|1649,224161,1649,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
