bridge_id,missing_zendesk_ticket_id,fieldbeat_task_id,task_type,state,client_key,created_at,link_method
42|2354,42,2354,REQUERIMIENTO DEL CLIENTE,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2024-03-08T17:15:39.326Z,fieldbeat_report_ticket_number
256105|2359,256105,2359,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,2024-03-13T19:35:39.600Z,fieldbeat_report_ticket_number
823383|2372,823383,2372,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2024-03-01T20:16:36.450Z,fieldbeat_report_ticket_number
68|2379,68,2379,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2024-03-22T19:12:54.444Z,fieldbeat_report_ticket_number
45|2384,45,2384,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2024-03-27T22:00:25.516Z,fieldbeat_report_ticket_number
90|2389,90,2389,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2024-04-01T17:52:27.579Z,fieldbeat_report_ticket_number
45|2390,45,2390,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2024-04-02T18:02:24.972Z,fieldbeat_report_ticket_number
93|2394,93,2394,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2024-04-04T19:45:37.860Z,fieldbeat_report_ticket_number
823383|2395,823383,2395,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2024-04-05T15:43:36.930Z,fieldbeat_report_ticket_number
958224|2403,958224,2403,REQUERIMIENTO DEL CLIENTE,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2024-04-11T16:20:19.854Z,fieldbeat_report_ticket_number
70|2408,70,2408,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2024-04-16T23:45:45.014Z,fieldbeat_report_ticket_number
721393|2411,721393,2411,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2024-04-19T01:27:30.731Z,fieldbeat_report_ticket_number
668704|2418,668704,2418,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2024-04-23T11:37:31.136Z,fieldbeat_report_ticket_number
764386|2419,764386,2419,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2024-04-23T11:41:09.055Z,fieldbeat_report_ticket_number
