fieldbeat_task_id,linked_zendesk_ticket_id,task_type,priority,state,description,client_key,assigned_to,created_by,created_at,updated_at,start_time,duration_minutes,last_transition_at,finished_data_synced_at,created_in,extracted_at
3011,9123,CORRECTIVA NO PROGRAMADA,2,FINISHED, Rotura gancho handheld hexapod,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),jecheverria,TOKEN|eyg:jecheverria:WORKER,2025-04-22T11:51:14.990Z,2025-04-22T12:39:26.880Z,2025-04-22T11:48:00.000Z,120,2025-04-22T12:39:17.777Z,,APK,2026-08-06T07:59:39.429Z
3012,,CORRECTIVA NO PROGRAMADA,3,FINISHED,EQUIPO SE DETIENE POR BAJA PRESION DE AGUA,FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,ebecker,TOKEN|eyg:ebecker:WORKER,2025-04-22T14:11:54.176Z,2025-04-22T14:24:29.948Z,2025-04-22T12:30:00.000Z,120,2025-04-22T14:24:23.494Z,,APK,2026-08-06T07:59:39.429Z
3013,,REQUERIMIENTO DEL CLIENTE,3,ARCHIVED,Asistencia por desconexion de Mosaiq secuencer con Linac,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,,TOKEN|eyg:jacuna:WORKER,2025-04-22T19:16:45.745Z,2025-04-22T20:52:46.295Z,2025-04-22T19:13:00.000Z,60,2025-04-22T20:52:46.295Z,,APK,2026-08-06T07:59:39.429Z
3014,,REQUERIMIENTO DEL CLIENTE,3,ARCHIVED,,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,,TOKEN|eyg:jacuna:WORKER,2025-04-22T19:19:41.382Z,2025-04-22T20:52:55.849Z,2025-04-22T19:18:00.000Z,60,2025-04-22T20:52:55.849Z,,APK,2026-08-06T07:59:39.429Z
3015,,REQUERIMIENTO DEL CLIENTE,2,ARCHIVED,Asistencia por desconexion de mosaiq secuencer y linac,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,,TOKEN|eyg:jacuna:WORKER,2025-04-22T19:20:53.513Z,2025-04-22T20:53:03.664Z,2025-04-22T19:20:00.000Z,60,2025-04-22T20:53:03.664Z,,APK,2026-08-06T07:59:39.429Z
3016,,REQUERIMIENTO DEL CLIENTE,3,FINISHED,problemas de conexion mosaiq secuencer con linac ,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,jacuna,TOKEN|eyg:jacuna:WORKER,2025-04-22T19:22:53.960Z,2025-04-22T19:31:22.371Z,2025-04-22T19:21:00.000Z,60,2025-04-22T19:31:06.234Z,,APK,2026-08-06T07:59:39.429Z
3017,9139,CORRECTIVA NO PROGRAMADA,2,FINISHED,falla camilla,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),ccarrasquel,TOKEN|eyg:ccarrasquel:WORKER,2025-04-22T23:11:49.504Z,2025-04-22T23:29:54.456Z,2025-04-22T23:10:00.000Z,120,2025-04-22T23:29:39.898Z,,APK,2026-08-06T07:59:39.429Z
3018,9141,CORRECTIVA NO PROGRAMADA,3,FINISHED,Reinstalacion de Mosaiq Sequencer en CCP,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,rcammalleri,TOKEN|eyg:rcammalleri:WORKER,2025-04-23T18:01:30.023Z,2025-04-23T18:11:13.701Z,2025-04-23T12:30:00.000Z,120,2025-04-23T18:11:07.840Z,,APK,2026-08-06T07:59:39.429Z
3019,9131,CORRECTIVA PROGRAMADA,3,FINISHED,BAJA PRESION AGUA INTERNA INFINITY,FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,ebecker,TOKEN|eyg:ebecker:WORKER,2025-04-24T12:58:52.779Z,2025-04-24T13:45:00.369Z,2025-04-22T21:00:00.000Z,120,2025-04-24T13:44:52.515Z,,APK,2026-08-06T07:59:39.429Z
3020,,PRUEBAS DE ACEPTACION,2,FINISHED,Test de Componente y Pruebas de recontitución Solventes 100ml Viaflex.,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,adiaz,TOKEN|eyg:adiaz:WORKER,2025-04-24T16:58:17.942Z,2025-04-24T17:03:01.605Z,2025-04-24T14:00:00.000Z,120,2025-04-24T17:02:48.441Z,,APK,2026-08-06T07:59:39.429Z
3021,9145,CORRECTIVA NO PROGRAMADA,2,FINISHED,falla movimiento vertical de la camilla ,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),ccarrasquel,TOKEN|eyg:ccarrasquel:WORKER,2025-04-24T18:25:33.895Z,2025-04-24T18:41:35.847Z,2025-04-24T18:24:00.000Z,120,2025-04-24T18:41:26.757Z,,APK,2026-08-06T07:59:39.429Z
3022,,PREVENTIVA PROGRAMADA,2,FINISHED,Mantenimiento Preventivo camilla Hexapod ,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),jecheverria,TOKEN|eyg:jecheverria:WORKER,2025-04-25T21:46:00.802Z,2025-04-28T12:50:32.494Z,2025-04-25T21:44:00.000Z,240,2025-04-28T12:50:26.698Z,,APK,2026-08-06T07:59:39.429Z
3023,,CORRECTIVA NO PROGRAMADA,2,ARCHIVED,,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,,TOKEN|eyg:aecheverria:WORKER,2025-04-25T22:28:27.560Z,2025-07-07T14:32:58.247Z,2025-04-25T20:00:00.000Z,120,2025-07-07T14:32:58.247Z,,APK,2026-08-06T07:59:39.429Z
3024,9151,CORRECTIVA NO PROGRAMADA,2,FINISHED,Inhibit - Automated Linac Asu 1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-04-25T22:31:17.876Z,2025-04-25T22:47:20.771Z,2025-04-25T20:00:00.000Z,120,2025-04-25T22:47:05.895Z,,APK,2026-08-06T07:59:39.429Z
3025,9150,REQUERIMIENTO DEL CLIENTE,2,FINISHED,touch clarity no intermitente,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,ssalice,TOKEN|eyg:ssalice:WORKER,2025-04-25T22:49:02.540Z,2025-04-25T23:05:29.630Z,2025-04-25T22:45:00.000Z,60,2025-04-25T23:05:24.642Z,,APK,2026-08-06T07:59:39.429Z
3026,9147,CORRECTIVA PROGRAMADA,2,FINISHED,coincidencia con el haz radiactivo y el haz de imagen (flexmap),FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),ccarrasquel,TOKEN|eyg:ccarrasquel:WORKER,2025-04-25T23:42:25.694Z,2025-04-26T02:00:52.640Z,2025-04-25T23:37:00.000Z,120,2025-04-26T02:00:40.385Z,,APK,2026-08-06T07:59:39.429Z
3027,,PREVENTIVA PROGRAMADA,2,FINISHED,Chequeo de equipo en la.partida posterior a mantenimiento Preventivo de Hexapod,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),jecheverria,TOKEN|eyg:jecheverria:WORKER,2025-04-28T11:31:38.199Z,2025-04-28T12:50:39.690Z,2025-04-28T11:30:00.000Z,240,2025-04-28T12:50:29.700Z,,APK,2026-08-06T07:59:39.429Z
3028,,REQUERIMIENTO DEL CLIENTE,2,FINISHED,inicio de linac ,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,ccarrasquel,TOKEN|eyg:ccarrasquel:WORKER,2025-04-28T12:19:19.128Z,2025-04-28T14:03:44.909Z,2025-04-28T12:18:00.000Z,60,2025-04-28T14:03:37.455Z,,APK,2026-08-06T07:59:39.429Z
3029,9156,CORRECTIVA NO PROGRAMADA,2,FINISHED,Problemas XVI inmovilizado,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),mabreu,TOKEN|eyg:mabreu:WORKER,2025-04-28T14:35:42.337Z,2025-04-28T16:19:18.804Z,2025-04-28T14:34:00.000Z,120,2025-04-28T16:19:13.102Z,,APK,2026-08-06T07:59:39.429Z
3030,9154,CORRECTIVA PROGRAMADA,2,FINISHED,FLEXMAPS XVI INFINITY,FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,ebecker,TOKEN|eyg:ebecker:WORKER,2025-04-29T22:51:11.551Z,2025-04-29T22:58:50.814Z,2025-04-29T21:00:00.000Z,120,2025-04-29T22:58:36.494Z,,APK,2026-08-06T07:59:39.429Z
3031,9167,CORRECTIVA NO PROGRAMADA,2,FINISHED,LCD Dose Monitor Battery Backup,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-04-30T15:07:28.683Z,2025-04-30T16:01:29.362Z,2025-04-30T14:00:00.000Z,120,2025-04-30T16:00:30.721Z,,APK,2026-08-06T07:59:39.429Z
3032,,REQUERIMIENTO DEL CLIENTE,2,FINISHED,visita por sincronizacion de tablet laseres Gammex,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,ssalice,TOKEN|eyg:ssalice:WORKER,2025-04-30T15:15:35.513Z,2025-04-30T15:41:23.914Z,2025-04-30T15:14:00.000Z,60,2025-04-30T15:41:18.912Z,,APK,2026-08-06T07:59:39.429Z
