identity_id,dolibarr_product_id,identity_type,identity_value,identity_value_normalized,dolibarr_ref,dolibarr_barcode,dolibarr_label,extracted_at
11827|REF|45133902034,11827,REF,45133902034,45133902034,45133902034,,"P.C.B.ASSEMBLY,12-BIT AN?",2026-08-03T04:54:39.696Z
11827|ID|11827,11827,ID,11827,11827,45133902034,,"P.C.B.ASSEMBLY,12-BIT AN?",2026-08-03T04:54:39.696Z
11485|REF|45133902084,11485,REF,45133902084,45133902084,45133902084,,"Analog output, 8-bit (AO8",2026-08-03T04:54:39.696Z
11485|ID|11485,11485,ID,11485,11485,45133902084,,"Analog output, 8-bit (AO8",2026-08-03T04:54:39.696Z
10936|REF|45133902096,10936,REF,45133902096,45133902096,45133902096,,DOSE A (DOS-A),2026-08-03T04:54:39.696Z
10936|ID|10936,10936,ID,10936,10936,45133902096,,DOSE A (DOS-A),2026-08-03T04:54:39.696Z
10937|REF|45133902097,10937,REF,45133902097,45133902097,45133902097,,DOSE B (DOS-B),2026-08-03T04:54:39.696Z
10937|ID|10937,10937,ID,10937,10937,45133902097,,DOSE B (DOS-B),2026-08-03T04:54:39.696Z
11118|REF|4513390213409J,11118,REF,4513390213409J,4513390213409J,4513390213409J,,"P.C.B.ASSEMBLY,AUXILLIAR?",2026-08-03T04:54:39.696Z
11118|ID|11118,11118,ID,11118,11118,4513390213409J,,"P.C.B.ASSEMBLY,AUXILLIAR?",2026-08-03T04:54:39.696Z
10837|REF|45133902974,10837,REF,45133902974,45133902974,45133902974,,"PCB ASSY,MOVEMENTS ENABLE (HME)",2026-08-03T04:54:39.696Z
10837|ID|10837,10837,ID,10837,10837,45133902974,,"PCB ASSY,MOVEMENTS ENABLE (HME)",2026-08-03T04:54:39.696Z
12190|REF|45133903224,12190,REF,45133903224,45133903224,45133903224,,"pcb assembly, temperature sensor",2026-08-03T04:54:39.696Z
12190|ID|12190,12190,ID,12190,12190,45133903224,,"pcb assembly, temperature sensor",2026-08-03T04:54:39.696Z
11003|REF|45133903384,11003,REF,45133903384,45133903384,45133903384,,"PCB, auxiliary power supply",2026-08-03T04:54:39.696Z
