equipment_internal_id,client_name,dolibarr_ref,dolibarr_label,previous_event_date,current_event_date,interval_days,interval_months,previous_fieldbeat_task_id,current_fieldbeat_task_id,event_count_for_machine_part,association_confidence_score,match_confidence,interval_confidence_score,interval_confidence_label,interval_confidence_factors,interval_status
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",2019-01-13T18:00:35.895Z,2019-02-25T11:00:45.676Z,43,1.4,171,210,7,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",2019-02-25T11:00:45.676Z,2019-04-10T13:30:05.338Z,44,1.45,210,265,7,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",2019-04-10T13:30:05.338Z,2020-08-24T12:30:00.000Z,502,16.49,265,764,7,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",2020-08-24T12:30:00.000Z,2021-03-05T10:00:00.000Z,193,6.34,764,973,7,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",2021-03-05T10:00:00.000Z,2023-07-28T20:24:00.000Z,875,28.76,973,2071,7,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),923931518204,AMPOLLETA MLC TYPE 13289,2019-01-16T14:30:53.297Z,2019-02-25T19:50:00.000Z,40,1.32,178,211,2,100,0.85,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-152171,CLINICA ALEMANA DE SANTIAGO,45133165177,THYRATRON e2v CX1154L,2019-02-22T16:00:00.000Z,2024-11-25T15:23:00.000Z,2103,69.09,205,2746,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-105277,TORRE MÉDICA - RANCAGUA,1018874,"Diode, SI 1N416CM-D023",2019-02-11T13:30:00.000Z,2021-08-03T15:00:00.000Z,904,29.7,199,1161,2,93,0.5,93,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1017392,Linear Actuator iViewGT /XVI,,2019-01-18T18:15:00.000Z,,,,180,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-151673,CLINICA ALEMANA DE SANTIAGO,1023530,ARM CONTROL BOARD (ACB) - IViEWGT,,2019-01-18T16:00:00.000Z,,,,179,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
153038,FUNDACION ARTURO LOPEZ PEREZ,45133304100,Drift tube assembly,,2018-08-24T11:30:00.000Z,,,,17,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
153038,FUNDACION ARTURO LOPEZ PEREZ,1515098,ION PUMP - SPARE,,2018-08-24T11:30:00.000Z,,,,17,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-152171,CLINICA ALEMANA DE SANTIAGO,1016474_usado,"KIT, SPARES, DLG BRAKE",2019-02-12T16:30:55.811Z,2021-08-18T21:00:00.000Z,918,30.16,198,1169,2,66,0.5,66,Media,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,1516753,Thyratron Pulser PCB,,2019-01-29T23:00:00.000Z,,,,192,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,45133165177,THYRATRON e2v CX1154L,,2019-01-29T23:00:00.000Z,,,,192,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
153038,FUNDACION ARTURO LOPEZ PEREZ,821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",,2019-01-13T17:30:00.000Z,,,,176,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153935,UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2019-01-15T11:30:00.000Z,2019-11-06T20:30:00.000Z,295,9.7,174,451,8,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2019-11-06T20:30:00.000Z,2022-08-08T17:30:00.000Z,1006,33.04,451,1573,8,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
