used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_name,raw_part_identifier,normalized_part_identifier,dolibarr_product_id,dolibarr_ref,dolibarr_barcode,dolibarr_label,match_method,match_confidence,match_status,needs_manual_review,candidate_dolibarr_product_ids
2153|3|0|45133304800,2153,,electron gun assy,45133304800,45133304800,10375,45133304800,,SL ELECTRON GUN ASSY,REF_EXACT,1,MATCHED,false,
2154|2|0|N/A,2154,,"Lubricante W40
Paños de fibra sin residuos
Aire comprimido ",N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2155|2|0|,2155,,"Grasa ep2
wd40
alcohol
triflow
paños",,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2156|2|0|N/A,2156,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2158|4|0|1515098,2158,,IonPump (lado target),1515098,1515098,10374,1515098,,ION PUMP - SPARE,REF_EXACT,1,MATCHED,false,
2161|2|0|,2161,,loctite,,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2162|3|0|1564298,2162,,"pcb assy, DLG and Diaphragm  drive ",1564298,1564298,11039,1564298,,Diaphragm/DLG PCB,REF_EXACT,1,MATCHED,false,
2162|5|0|1527044,2162,,"programmed pcb assy, router",1527044,1527044,,,,,NONE,0,NO_MATCH,true,
2162|4|0|1526644,2162,,"pcb assy, Wedge control ",1526644,1526644,,,,,NONE,0,NO_MATCH,true,
2162|2|0|1556292,2162,,kit spare DLG brake (2 unidades),1556292,1556292,,,,,NONE,0,NO_MATCH,true,
2163|5|0|1515098,2163,,ion pump - spare,1515098,1515098,10374,1515098,,ION PUMP - SPARE,REF_EXACT,1,MATCHED,false,
2163|4|0|1564298,2163,,pcb dlg/diafragmas cant 1,1564298,1564298,11039,1564298,,Diaphragm/DLG PCB,REF_EXACT,1,MATCHED,false,
2164|2|0|N/A,2164,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2167|3|0|n/a,2167,,n/a,n/a,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2169|2|0|1534958,2169,240610,"kit, spares, leaf motor",1534958,1534958,11034,1534958,,Leaf motor spares kit,REF_EXACT,1,MATCHED,false,
"2170|2|0|45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489",2170,,"PCB 811 INTERCONNECT LADO B
PCB 812 INTERCONNECT LADO A
ISO ROTATION BRAKE
CABLE SKT 810A-PL801A
CABLE SKT 810B-PL801B
CABLE SKT 810E-PL801E
CABLE SKT 810C-PL802C
CABLE SKT 810F-PL802F","45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489",451333178494513331785010169844513331848545133318486451333184884513331848745133318489,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10906|11248|11249|12160|12161|12163|12162|12164
2171|2|0|2246067,2171,,Printer SII Smart Label Printer 650,2246067,2246067,11190,2246067,,Label printer,REF_EXACT,1,MATCHED,false,
2173|4|0|1502613,2173,303706,Laser ODI Spares Kit,1502613,1502613,10994,1502613,,Laser ODI Spares Kit,REF_EXACT,1,MATCHED,false,
"2173|3|0|4513341185001U
4513341184601U",2173,303706,cable PL9 y PL5,"4513341185001U
4513341184601U",4513341185001U4513341184601U,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11694|11682
2174|2|0|4513316442101T,2174,,"Potentiometer 20K, 10T",4513316442101T,4513316442101T,10986,4513316442101T,,"Potentiometer, 20k, 10 turns Coarse/Check",REF_EXACT,1,MATCHED,false,
2180|2|0|No hay.,2180,,No hay.,No hay.,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2182|2|0|No hay,2182,,No hay,No hay,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2183|4|0|n/a,2183,561750,n/a,n/a,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2185|2|0|,2185,905198,"potenciometro coarse
potenciometro fine",,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2190|10|0|45133304800,2190,,Electron Gun Assy,45133304800,45133304800,10375,45133304800,,SL ELECTRON GUN ASSY,REF_EXACT,1,MATCHED,false,
2190|12|0|1024939,2190,,"Assy 40x40x10mm Led Projector Fan, Heatsink",1024939,1024939,10776,1024939,,"ASSY, 40X40X10MM FAN, HEATSINK",REF_EXACT,1,MATCHED,false,
2190|11|0|1515098,2190,,Ion Pump Spare,1515098,1515098,10374,1515098,,ION PUMP - SPARE,REF_EXACT,1,MATCHED,false,
